is_NY,url,title,location,date,pdf,transcription
,NYGBR,Machackameck DRC (Deerpark?),"42: 229, 369",,yes,
,NYGBR,Warwarsing DRC,"50: 7, 160, 243, 365",,yes,
,NYGBR,Port Richmond,"37: 27, 122, 189, 284",,yes,
,NYGBR,New Dorp Moravian,"40: 33,",,yes,
,NYGBR,Walpeck Congregational,"41: 28, 83, 200, 345",,yes,
,NYGBR,Machackameck DRC (Deerpark?),"44: 37, 158, 379",,yes,
,NYGBR,Machackameck DRC (Deerpark?),"43: 12, 141, 225, 249",,yes,
,NYGBR,Warwarsing DRC,"51: 27, 138, 233",,yes,
,NYGBR,Rye Christ Church,"48: 63, 124, 228, 330",,yes,
,NYGBR,Rye Christ Church,"47: 14, 128, 297, 395",,yes,
,NYGBR,Rye Christ Church,"46: 234, 403",,yes,
,NYGBR,Rye Christ Church,"38: 17, 145, 208, 278",,yes,
,Holland Society,Brooklyn DRC,1897,,yes,
,Holland Society,NYC Lutheran,1903,,yes,
,Holland Society,Albany DRC,1904,,yes,
,Holland Society,Albany DRC,1905,,yes,
,Holland Society,Albany DRC,1906,,yes,
,Holland Society,Albany DRC,1907,,yes,
,Holland Society,Albany DRC,1908,,yes,
,Holland Society,Albany DRC,1922,,yes,
,Holland Society,Albany DRC,1924,,yes,
,Holland Society,Albany DRC,1926,,yes,
,Holland Society,Shawagunk,1928,,yes,
,Holland Society,Hackensack,1891,,yes,
,Holland Society,Schraalenberg,1891,,yes,
