,year,source,target
506,1778,Balthaser  Schmidt,Barbara  Schmidt
507,1779,Jacob  Lotz,Eva  Lotz
508,1774,Peter  Keinert,Christina  Keinert
510,1781,Johannes  Kammer,Albertina  Kammer
511,1786,Adam  Howerter,Catharina  Howerter
512,1789,Jacob  Waber,Gertraut  Beer
513,1791,Wilhelm  Sterner,Margriet  Sterner
514,1766,Johannes  Albrecht,Margriet  Albrecht
515,1769,Heinrich  Schever,Maria A Schever
516,1772,Heinrich  Knappenberger,Anna Maria Knappenberger
517,1774,George  Schwartz,Margriet  Schwartz
518,1777,Johannes  Schwartz,Elizabeth  Schwartz
519,1782,Mark  Ligtel,Barbara  Ligtel
520,1784,Cornelius  Jus,Elizabeth  Jus
521,1771,Dietrich  Kammer,Elizabeth  Kammer
522,1776,Jeremiah  Trexler,Elizabeth  Trexler
523,1774,George  Scharrig,Catharina  Scharrig
524,1774,Johannes Peter Trexler,Catharina  Trexler
525,1776,Nicholas  Kleyn,Margriet  Kleyn
526,1773,Nicholas  Heene,Anna A Heene
527,1786,Jacob  Kigli,Catharina  Kigli
528,1787,Jacob  Waber,Gertraut  Beer
529,1789,Valentyn  Finck,Elizabeth  Finck
530,1793,Johannes  Friedrich,Elizabeth  Friedrich
531,1770,Johannes  Weidman,Margriet  Weidman
532,1773,Jacob  Sauerwein,Maria  Sauerwein
533,1769,Isaac  Gerritse,Catharina  Gerritse
534,1782,Christian  Fegli,Maria  Fegli
535,1790,Jacob  Desch,Elizabeth  Desch
536,1789,Christian  Reiner,Maria A Reiner
537,1790,Christian  Slaug,Barbara  Slaug
538,1791,Peter  Trexler,Catharina  Trexler
539,1796,Johannes  Scheimer,Salome  Scheimer
540,1790,George  Herbst,Elizabeth  Herbst
541,1788,George  Marsteller,Catharina  Marsteller
542,1778,Daniel  Schmoyer,Catharina  Schmoyer
543,1780,Mattheus  Bruder,Anna M Bruder
544,1784,Heinrich  Krestman,Barbara  Krestman
545,1785,Michael  Schever,Maria A Schever
546,1790,Philip  Desch,Anna Mar Desch
547,1797,Jacob  Schanckweiler,Catharina  Schanckweiler
548,1786,Michael  Sterner,Catharina  Sterner
549,1793,John Nicholaus Kaiser,Magdalena  Fedderman
550,1791,Andries  Eisenhart,Elizabeth  Eisenhart
551,1788,Philip  Schwebenheuser,Frank  Schwebenheuser
552,1798,Carolus  Huber,Susanna  Huber
553,1789,Heinrich  Wessels,Catharina  Wessels
554,1794,Daniel  Schmoyer,Catharina  Schmoyer
555,1782,Johannes P Schmoyer,Magdalena  Schmoyer
556,1783,Conrad  Knappenberger,Eva P Knappenberger
557,1787,Joseph  Albrecht,Catharina  Albrecht
558,1794,Johannes  Wessels,Catharina  Wessels
559,1773,Michael  Schever,Justina  Schever
560,1774,Michael  Kreit,Maria  Kreit
561,1789,Christopher  Sterner,Gertraut  Sterner
562,1758,Balthaser  Dritt,Magdalena  Dritt
563,1797,Lorence  Gorr,Elizabeth  Gorr
564,1772,Johannes  Kleyn,Maria  Kleyn
565,1776,Joseph  Albrecht,Susanna  Albrecht
566,1777,Jacob  Steven,Catharina  Steven
567,1800,Philip  Desch,Maria  Desch
569,1761,Philip  Drescher,Christina  Drescher
570,1795,Daniel  Schwartz,Maria  Schwartz
571,1780,Friedrich  Loorman,Elizabeth  Loorman
572,1775,Nicholas  Heene,Anna A Heene
573,1792,Philip  Miller,Rosina  Miller
574,1751,Michael  Nothstein,Anna Margaretha Nothstein
575,1756,George  Hartman,Anna Maria Hartman
576,1756,Friedrich  Schever,Maria Margaretha Schever
580,1772,Michael  Schmoyer,Magdalena  Schmoyer
581,1774,Conrad  Knappenberger,Eva Barbara Knappenberger
582,1776,George  Schever,Eva  Schever
583,1780,Johannes  Muth,Barbara  Muth
584,1782,Michael  Moser,Eva  Moser
585,1784,Heinrich  Kammer,Anna M Kammer
586,1788,Johannes  Trees,Maria A Trees
587,1789,Johannes  Kaul,Elizabeth  Kaul
588,1795,Adam  Knappenberger,Catharina  Knappenberger
589,1756,John Adam Lucr,Magdalena  Lucr
590,1800,Philip  Schmoyer,Catharina  Schmoyer
591,1786,Johannes  Hainli,Elizabeth  Hainli
592,1754,Bernardus  Junge,Elizabeth  Junge
593,1756,George Friedrich Beer,Hannah Maria Beer
594,1769,Antoine  Moll,Dorothea  Moll
595,1772,Peter  Fedderolf,Susanna  Fedderolf
596,1776,Heinrich  Wessels,Catharina  Wessels
597,1779,Philip  Poulus,Susanna  Poulus
598,1797,Johannes  Friedrich,Elizabeth  Friedrich
599,1798,Reichard  Gregory,Christina  Gregory
600,1798,Daniel  Ruch,Salome  Ruch
601,1770,Andries  Kaug,Elizabeth  Kaug
602,1782,Johannes  Helt,Charlotte  Helt
603,1750,Johannes Jacob Eichner,Maria Magdalena Huber
604,1751,Melchior  Fogelman,Maria Barbara Fogelman
606,1779,Daniel  Ruch,Barbara  Reisch
607,1776,Adam  Reisch,Maria  Reisch
609,1758,Michael  Schaffner,Catharina  Schaffner
610,1763,Johannes Philipse Schmoyer,Maria Magdalena Schmoyer
611,1765,George  Kraber,[Noname]  Ludwig
612,1769,Heinrich  Knappenberger,Anna Margaretha Knappenberger
613,1766,Samuel  Dormeyer,Christina  Boppenmeyer
616,1770,Dewald  Schut,Christina  Schut
617,1759,Mattheus  Bruder,Christina  Bruder
619,1750,Johannes Dietrich Kammer,Maria Elizabeth Meinert
620,1791,Heinrich  Wessels,Catharina  Wessels
621,1792,Daniel  Maurer,Regina  Wagener
622,1798,George  Walbert,Elsiabetha  Walbert
623,1784,Valentyn  Haupt,Anna M Haupt
624,1788,Johannes  Hainli,Elizabeth  Hainli
625,1791,Friedrich  Fenli,Elizabeth  Fenli
626,1783,Johannes  Schmidt,Christina  Schmidt
628,1763,Heinrich  Cuntz,Catharina  Cuntz
629,1759,Godfrey  Uberdorffer,Anna Margaretha Uberdorffer
631,1795,Jacob  Kigli,Catharina  Kigli
632,1780,Johannes  Trexler,Margriet  Trexler
633,1759,George  Schnabel,Margriet Barbara Schnabel
634,1761,Isaac  Jerret,Catharina  Jerret
635,1762,Conrad  Trees,Catharina  Trees
636,1763,Balthaser  Dritt,Magdalena  Dritt
637,1776,Michael  Beer,Maria  Beer
638,1792,Johannes N Heene,Anna Elizabeth Heene
639,1798,Johannes  Hert,Elizabeth  Hert
640,1770,Philip  Bastres,Barbara  Bastres
641,1789,Heinrich  Meitzler,Gertraut  Meitzler
642,1778,Philip  Schwartz,Catharina  Schwartz
643,1791,Johannes  Wessels,Catharina  Wessels
644,1793,Andries  Geist,Elizabeth  Dormeyer
645,1768,Ludwig  Meckel,Maria Elizabeth Meckel
646,1774,Dewald  Schut,Christina  Schut
647,1793,Jacob  Rahn,Catharina  Rahn
648,1775,George  Gorr,Christina  Gorr
649,1795,Philip  Moyer,Catharina  Moyer
650,1797,Johannes A Steininger,Catharina  Steininger
651,1799,George  Wagener,Susanna  Wagener
653,1764,Johannes Michael Haas,Anna Magdalena Haas
654,1771,Peter  Duckert,Margriet  Duckert
655,1771,Adam  Schmidt,Barbara  Schmidt
657,1778,George  Zimmerman,Elizabeth  Zimmerman
658,1779,Peter  Schener,Anna M Schener
659,1780,Johannes  Trexler,Rosina  Trexler
660,1781,Michael  Sterner,Catharina  Sterner
661,1762,George Adam Leipersperger,Barbara  Leipersperger
662,1799,Daniel  Schwartz,Maria  Schwartz
663,1762,Antoine  Reisch,Anna Maria Reisch
664,1796,Melchior  Dietrich,Maria Margaretha Dietrich
665,1757,Christian  Rothermel,Magdalena  Rothermel
666,1761,Dewald  Schotten,Christina Elizabeth Schotten
667,1763,Mattheus  Ludwig,Anna Elizabeth Ludwig
668,1769,Valentyn  Schever,Catharina  Schever
669,1771,Peter  Mattern,Catharina  Mattern
670,1774,Philip  Bastres,Barbara  Bastres
671,1775,Philip  Poulus,Susanna  Poulus
672,1777,Peter  Schever,Maria A Schever
673,1777,Peter  Trexler,Rosina  Trexler
674,1777,Jacob  Wagener,Louisa  Huber
675,1779,Wilhelm  Schmidt,Catharina  Schmidt
677,1776,Philip  Poulus,Susanna  Poulus
678,1784,Friedrich  Warmkessel,Susanna  Warmkessel
679,1784,Mattheus  Saam,Magdalena  Saam
680,1788,Frantz  Warmkessel,Elizabeth  Warmkessel
681,1795,Jacob  Kleyn,Elizabeth  Kleyn
682,1784,Johannes  Dell,Eva  Dell
684,1782,Valentyn  Haupt,Anna M Haupt
685,1783,George  Herbst,Elizabeth  Herbst
686,1789,Heinrich  Dieffendorfer,Susanna  Dieffendorfer
687,1797,Friedrich  Hains,Johanna  Hains
688,1779,Abraham  Braus,Anna  Braus
689,1784,Jacob  Kigli,Catharina  Kigli
690,1781,Johannes  Albrecht,Philipina  Albrecht
692,1798,Peter  Koller,Margriet  Koller
693,1795,Nicholas  Grammes,Margriet  Grammes
694,1770,Heinrich  Eigner,Susanna  Eigner
695,1780,Peter  Kleyn,Margriet  Kleyn
696,1788,Michael  Sterner,Catharina  Sterner
697,1782,Joseph  Eisenhart,Margriet  Eisenhart
698,1773,Valentyn  Haupt,Anna M Haupt
699,1781,Conrad  Krag,Catharina  Krag
700,1788,Heinrich  Ludwig,Christina  Ludwig
701,1792,Peter  Kohn,Magdalena  Kohn
702,1794,Philip  Miller,Rosina  Miller
703,1779,Heinrich  Eigner,Susanna  Eigner
704,1774,Daniel  Jus,Catharina  Jus
705,1758,Eichert  Kricken,Sara  Kricken
707,1797,Dietrich  Kammer,Rebecca  Kammer
708,1762,Jacob  Danner,Christina  Danner
709,1756,Heinrich  Cuntz,Catharina  Cuntz
710,1780,Jacob  Flammer,Catharina  Flammer
711,1787,Jacob  Kigli,Catharina  Kigli
712,1794,Heinrich  Marsteller,Susanna  Marsteller
713,1774,Joseph  Albrecht,Susanna  Albrecht
714,1775,Valentyn  Haupt,Maria  Haupt
