,year,source,target
45,1796,Philip  Gunkel,Catharina  Gunkel
46,1796,Georg  Hess,Maria  Gronigee
47,1796,Nicol  Weber,Juliana Barbara Weber
49,1796,Michael  Weber,Catharina Elizabeth Weber
50,1796,Chris  Henry,Judith Barbara Henry
54,1796,John  Weber,Elizabeth Catherine Weber
56,1802,Hendrick  Herb,Christina Eva Franklin Herb
57,1802,Christina  Krebs,Laria  Krebs
58,1802,Adam  Stober,Laria  Stober
59,1802,Caspar  Emmerick,Elizabeth Barbara Christina Emmerick
60,1802,Peter  Heckman,Elis Salome Heckman
61,1802,Jacob  Kranter,Elizabeth Magdalena Kranter
62,1802,David  Strom,Susanna  Strom
64,1802,Adam  Herper,Magdalena Philillina Herper
65,1802,Jacob  Miller,Catharina  Miller
66,1802,John  Willeman,Margriet Magd Schuck
67,1802,Geo  Trautner,Barbara Anna Margaretha Trautner
68,1802,David  Strom,Elizabeth  Strom
69,1802,Jacob  Miller,Magdalena Catherine Miller
71,1802,Philip  Nies,Elizabeth Barbara Nies
72,1802,Johannes  Stober,Magdalena Maria Dunkelberger
73,1802,Jacob  Schaefer,Margriet Susanna Schaefer
74,1802,Geo Mic Trautner,Margriet  Trautner
75,1802,Adam  Leidig,Christina Catha Leidig
76,1802,Balthazar  Hetzler,Cathe Christina Hetzler
77,1802,Geo  Baursohs,Judith Rosina Baursohs
78,1802,Adam  Bahmer,Catharina Elizabeth Waldenberger
79,1802,Philip  Frank,Catharina  Frank
80,1802,Adam  Klingler,Barbara Margaretha Klingler
81,1802,Henrich  Krebs,Anna Maria Margaretha Krebs
82,1802,Henrich  Gansert,Barbara Elizabeth Gansert
85,1802,Daniel  Kreamer,Christina Margaretha Kreamer
86,1802,Jacob  Stober,Catharina  Stober
87,1802,Adam  Leidig,Christina Salome Leidig
89,1802,Geo  Schwartz,Eva Susanna Schwartz
90,1802,Jacob  Hennig,Eva Elizabeth Hennig
92,1803,Valentyn  Britsch,Maria Catherine Britsch
93,1803,Adam  Stober,Juliana Margaretha Stober
94,1803,Philip  Danner,Maria  Danner
96,1803,Andries  Feller,Caroline Lotz Feller
97,1803,Jacob  Weber,Christina  Bayer
98,1803,John  Weis,Eva  Weis
99,1803,Geo  Pontius,Eva Rosina Catherine Pontius
100,1803,Geo  Trautner,Margriet  Trautner
101,1803,Joh Mic Mogel,Elizabeth  Mogel
103,1803,Johannes  Weber,Christina Eva Margaretha Weber
104,1803,Adam  Kliger,Margriet Eliza Kliger
105,1802,Georg  Bayer,Gertrant  Bayer
107,1803,Henrich  13,Eva  13
109,1803,Joh  Herper,Catharina  Herper
110,1803,Joh  Leidig,Catharina Anna Maria Leidig
111,1803,Johannes  Weber,Eva  Weber
112,1803,Jacob  Weber,Maria Magdalena Bayer
113,1803,Joh  Criechbaum,Maria Eliza Criechbaum
114,1803,Geo  Hetzel,Catharina  Hetzel
115,1803,Christopher  Emmerick,Catharina  Emmerick
116,1803,Mattheus  Beuck,Margriet Christina Beuck
