,year,source,target
82,1761,Jacob  Schmelzer,Johannes  Kumfort
82,1761,Anna Margaretha Wacker,Johannes  Kumfort
5,1762,Peter  Dritt,Anna Barbara Dellinger
5,1762,Maria Barbara Dellinger,Anna Barbara Dellinger
5,1762,Josua  Dellinger,Anna Barbara Dellinger
89,1762,Georg  Lafeber,Anna Barbara Schleyermacher
15,1762,Johannes Nicolaus Deh,Anna Christina Holtzel
15,1762,Anna Margaretha Abel,Anna Christina Holtzel
15,1762,Ernst Stoffel Holtzel,Anna Christina Holtzel
89,1762,Georg  Lafeber,Anna Elisabeta Paulis
89,1762,Anna Barbara Schleyermacher,Anna Elisabeta Paulis
15,1762,Johannes Nicolaus Deh,Anna Margaretha Abel
84,1762,Isaac  Brubacher,Anna Maria Tiefenddorffer
80,1762,Joseph  Infeld,Christina  Infeld
84,1762,Isaac  Brubacher,Conrad  Brubacher
84,1762,Anna Maria Tiefenddorffer,Conrad  Brubacher
15,1762,Johannes Nicolaus Deh,Ernst Stoffel Holtzel
15,1762,Anna Margaretha Abel,Ernst Stoffel Holtzel
84,1762,Isaac  Brubacher,Eva  Brubacher
84,1762,Anna Maria Tiefenddorffer,Eva  Brubacher
84,1762,Conrad  Brubacher,Eva  Brubacher
5,1762,Peter  Dritt,Josua  Dellinger
5,1762,Maria Barbara Dellinger,Josua  Dellinger
80,1762,Joseph  Infeld,Margriet  Ziegler
80,1762,Christina  Infeld,Margriet  Ziegler
80,1762,Thomas  Ziegler,Margriet  Ziegler
5,1762,Peter  Dritt,Maria Barbara Dellinger
80,1762,Joseph  Infeld,Thomas  Ziegler
80,1762,Christina  Infeld,Thomas  Ziegler
88,1763,Ulrich  Seiler,Anna  Sincke
88,1763,Maria Elisabeta Geiss,Anna  Sincke
88,1763,Jacob  Sincke,Anna  Sincke
83,1763,Jacob  Schmelzer,Anna Margaretha Wacker
87,1763,Heinrich  Wolff,Anna Maria Kramer
83,1763,Jacob  Schmelzer,David  Wacker
