,congregation,year,modularity,count
520,sleepyhollow-drc,1729,8,52
521,sleepyhollow-drc,1729,9,19
522,sleepyhollow-drc,1729,10,45
523,sleepyhollow-drc,1729,11,48
524,sleepyhollow-drc,1729,12,0
525,sleepyhollow-drc,1729,13,16
526,sleepyhollow-drc,1729,14,37
527,sleepyhollow-drc,1729,15,0
528,sleepyhollow-drc,1730,0,57
529,sleepyhollow-drc,1730,1,28
530,sleepyhollow-drc,1730,2,26
531,sleepyhollow-drc,1730,3,48
532,sleepyhollow-drc,1730,4,57
533,sleepyhollow-drc,1730,5,34
534,sleepyhollow-drc,1730,6,28
535,sleepyhollow-drc,1730,7,75
536,sleepyhollow-drc,1730,8,48
537,sleepyhollow-drc,1730,9,19
538,sleepyhollow-drc,1730,10,45
539,sleepyhollow-drc,1730,11,53
540,sleepyhollow-drc,1730,12,0
541,sleepyhollow-drc,1730,13,16
542,sleepyhollow-drc,1730,14,37
543,sleepyhollow-drc,1730,15,0
544,sleepyhollow-drc,1731,0,57
545,sleepyhollow-drc,1731,1,31
546,sleepyhollow-drc,1731,2,25
547,sleepyhollow-drc,1731,3,51
548,sleepyhollow-drc,1731,4,58
549,sleepyhollow-drc,1731,5,26
550,sleepyhollow-drc,1731,6,28
551,sleepyhollow-drc,1731,7,81
552,sleepyhollow-drc,1731,8,50
553,sleepyhollow-drc,1731,9,19
554,sleepyhollow-drc,1731,10,49
555,sleepyhollow-drc,1731,11,57
556,sleepyhollow-drc,1731,12,0
557,sleepyhollow-drc,1731,13,17
558,sleepyhollow-drc,1731,14,37
559,sleepyhollow-drc,1731,15,0
560,sleepyhollow-drc,1732,0,56
561,sleepyhollow-drc,1732,1,31
562,sleepyhollow-drc,1732,2,26
563,sleepyhollow-drc,1732,3,51
564,sleepyhollow-drc,1732,4,57
565,sleepyhollow-drc,1732,5,18
566,sleepyhollow-drc,1732,6,28
567,sleepyhollow-drc,1732,7,78
568,sleepyhollow-drc,1732,8,49
569,sleepyhollow-drc,1732,9,18
570,sleepyhollow-drc,1732,10,51
571,sleepyhollow-drc,1732,11,57
572,sleepyhollow-drc,1732,12,0
573,sleepyhollow-drc,1732,13,21
574,sleepyhollow-drc,1732,14,40
575,sleepyhollow-drc,1732,15,0
576,sleepyhollow-drc,1733,0,58
577,sleepyhollow-drc,1733,1,33
578,sleepyhollow-drc,1733,2,26
579,sleepyhollow-drc,1733,3,47
580,sleepyhollow-drc,1733,4,54
581,sleepyhollow-drc,1733,5,12
582,sleepyhollow-drc,1733,6,30
583,sleepyhollow-drc,1733,7,85
